CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
752,France,Female,36.0,7,0.0,2,1.0,0.0,184866.86,0
553,France,Male,42.0,1,0.0,2,0.0,0.0,23822.04,0
621,France,Male,32.0,1,0.0,2,1.0,1.0,168779.47,0
721,France,Female,40.0,7,0.0,2,1.0,1.0,122580.48,0
666,France,Female,38.0,6,127043.09,1,1.0,1.0,8247.0,0
634,Germany,Female,59.0,3,95727.05,1,0.0,0.0,97939.4,1
703,France,Female,40.0,7,0.0,2,0.0,1.0,122518.5,0
850,Germany,Male,32.0,9,141827.33,2,1.0,1.0,149458.73,0
515,Germany,Male,45.0,7,120961.5,3,1.0,1.0,39288.11,1
663,France,Male,28.0,4,0.0,2,1.0,1.0,123969.64,0
632,France,Female,44.0,3,133793.89,1,1.0,1.0,34607.14,1
521,France,Male,39.0,7,0.0,2,0.0,1.0,653.58,0
689,France,Male,34.0,1,165312.27,1,1.0,0.0,155495.63,0
674,France,Male,46.0,2,174701.05,1,1.0,0.0,90189.72,1
516,Spain,Female,33.0,3,0.0,2,1.0,1.0,58685.59,0
611,Spain,Male,51.0,1,122874.74,1,1.0,1.0,149648.45,0
705,France,Female,55.0,8,0.0,2,1.0,1.0,14392.68,0
525,France,Male,36.0,2,114628.4,1,0.0,1.0,168290.06,0
621,Spain,Female,59.0,2,0.0,2,1.0,1.0,171364.18,0
677,France,Female,58.0,1,90022.85,1,0.0,1.0,2988.28,0
538,Spain,Male,39.0,2,122773.5,2,1.0,1.0,58467.08,0
602,France,Female,72.0,3,0.0,2,1.0,1.0,171260.66,0
676,Spain,Female,30.0,5,0.0,2,0.0,0.0,179066.58,0
614,France,Male,46.0,4,0.0,1,1.0,0.0,74379.57,1
479,Germany,Female,30.0,7,143964.36,2,1.0,0.0,41879.99,0
625,France,Female,36.0,8,129944.39,2,0.0,0.0,198914.8,0
528,Germany,Male,32.0,2,99092.45,1,0.0,1.0,111149.98,0
694,Spain,Male,39.0,3,0.0,1,1.0,1.0,95625.03,0
818,Germany,Male,43.0,10,105301.5,1,1.0,1.0,78941.59,0
605,Spain,Male,39.0,10,105317.73,2,1.0,0.0,138021.36,0
523,Germany,Male,60.0,1,163894.35,1,0.0,1.0,57061.71,0
676,France,Male,37.0,10,106242.67,1,1.0,1.0,166678.28,0
747,France,Male,27.0,10,0.0,2,0.0,0.0,13007.89,0
705,France,Male,92.0,1,126076.24,2,1.0,1.0,34436.83,0
621,Spain,Male,42.0,8,68683.68,1,1.0,1.0,74157.71,0
605,France,Male,27.0,9,0.0,2,1.0,0.0,198091.81,0
638,France,Male,34.0,5,133501.36,1,0.0,1.0,155643.04,0
753,France,Female,62.0,6,0.0,2,1.0,1.0,136398.9,0
450,Spain,Female,34.0,2,0.0,2,1.0,0.0,175480.93,0
619,France,Male,27.0,1,154483.98,1,1.0,0.0,156394.74,0
790,France,Female,41.0,2,126619.27,1,1.0,0.0,198224.38,0
673,France,Male,30.0,1,64097.75,1,1.0,1.0,77783.35,0
556,France,Female,40.0,9,129860.37,1,0.0,0.0,17992.94,0
571,France,Male,40.0,10,112896.86,1,1.0,1.0,121402.53,0
696,France,Male,22.0,9,149777.0,1,1.0,1.0,198032.93,0
668,France,Female,37.0,7,128645.67,1,1.0,0.0,92149.64,0
762,Germany,Male,34.0,4,88815.56,2,1.0,0.0,68562.26,1
698,Germany,Female,52.0,1,107906.75,1,1.0,0.0,168886.39,1
684,France,Male,60.0,2,116563.58,1,1.0,0.0,120257.7,1
763,France,Female,38.0,0,152582.2,2,0.0,0.0,31892.82,0
794,France,Male,33.0,0,0.0,2,0.0,0.0,178122.71,0
578,Germany,Female,36.0,8,129745.1,1,1.0,1.0,143683.75,0
765,France,Male,43.0,9,157960.49,2,0.0,0.0,136602.8,0
550,Germany,Male,35.0,9,129847.75,2,1.0,0.0,197325.4,0
566,Germany,Male,22.0,7,144954.75,2,1.0,0.0,102246.0,0
714,Germany,Male,21.0,6,86402.52,2,0.0,0.0,27330.59,0
581,France,Female,27.0,5,102258.11,2,1.0,0.0,194681.6,0
728,Germany,Male,39.0,6,152182.83,1,0.0,0.0,161203.6,0
567,France,Female,47.0,2,0.0,1,0.0,0.0,110900.43,1
591,Spain,Male,36.0,7,135216.8,1,1.0,1.0,122022.89,0
524,Germany,Female,25.0,7,131402.21,1,0.0,0.0,193668.49,0
656,France,Male,50.0,7,0.0,2,0.0,1.0,72143.44,0
816,Germany,Female,38.0,5,130878.75,3,1.0,0.0,71905.77,1
679,Germany,Male,39.0,2,146186.28,2,1.0,1.0,193974.47,0
685,France,Male,30.0,2,0.0,2,1.0,1.0,140889.32,0
542,France,Male,29.0,9,0.0,1,1.0,0.0,8342.35,0
824,Germany,Male,49.0,8,133231.48,1,1.0,1.0,67885.37,0
614,Spain,Female,40.0,3,113348.5,1,1.0,1.0,77789.01,0
623,France,Female,57.0,7,71481.79,2,1.0,1.0,84421.34,0
777,France,Female,29.0,9,131240.61,1,1.0,1.0,163746.09,1
595,France,Female,33.0,9,0.0,2,1.0,1.0,41447.86,0
537,Spain,Female,38.0,1,0.0,2,0.0,1.0,41233.97,0
546,France,Male,28.0,8,0.0,1,1.0,0.0,159254.29,0
705,France,Male,25.0,0,97544.29,1,0.0,1.0,59887.15,0
496,Spain,Male,29.0,2,0.0,2,1.0,0.0,55389.59,0
764,France,Female,40.0,9,100480.53,1,1.0,0.0,124095.69,0
767,Spain,Male,37.0,7,0.0,2,1.0,1.0,24734.25,0
784,Spain,Male,35.0,3,0.0,2,0.0,0.0,81483.64,0
706,Spain,Male,57.0,7,0.0,1,1.0,0.0,17941.16,1
546,Spain,Male,42.0,7,139070.51,1,1.0,1.0,86945.0,0
690,Spain,Male,36.0,10,0.0,2,1.0,0.0,55902.93,0
625,France,Male,39.0,5,0.0,1,1.0,0.0,99800.87,0
823,France,Male,34.0,3,105057.33,1,1.0,0.0,9217.92,0
690,Spain,Female,36.0,10,91760.11,1,1.0,1.0,135784.94,0
632,Spain,Male,37.0,1,138207.08,1,1.0,0.0,60778.11,1
695,France,Male,46.0,7,49512.55,1,1.0,0.0,133007.34,0
726,Germany,Female,33.0,7,99046.31,2,1.0,1.0,56053.06,0
507,Germany,Male,31.0,2,134237.07,1,1.0,1.0,166423.66,1
678,Spain,Male,28.0,5,138668.18,1,1.0,1.0,54144.01,0
502,France,Female,35.0,6,0.0,2,1.0,1.0,80618.47,0
521,Germany,Female,40.0,9,134504.78,1,1.0,0.0,18082.06,0
620,Germany,Male,35.0,0,76989.97,1,1.0,1.0,17242.79,0
831,Spain,Female,44.0,10,0.0,1,0.0,1.0,47729.33,0
499,France,Female,57.0,1,0.0,1,0.0,0.0,131372.38,1
642,France,Male,32.0,3,0.0,2,1.0,1.0,88698.83,0
742,France,Male,32.0,6,160485.16,1,1.0,0.0,29023.03,0
704,France,Male,42.0,8,129735.3,2,1.0,1.0,179565.57,0
577,Spain,Male,41.0,4,89015.61,1,0.0,1.0,135227.23,0
627,France,Female,27.0,2,0.0,2,1.0,0.0,125451.01,0
736,France,Female,63.0,10,0.0,2,0.0,1.0,502.7,0
510,France,Female,30.0,0,0.0,2,1.0,1.0,130553.47,0
775,Germany,Male,51.0,2,123783.25,1,1.0,1.0,134901.57,0
531,France,Male,29.0,3,114590.58,1,0.0,0.0,75585.48,0
705,Germany,Female,31.0,9,110941.93,2,1.0,0.0,163484.8,0
642,Germany,Male,30.0,8,134497.27,1,0.0,0.0,43250.54,0
679,France,Male,45.0,3,146758.24,1,1.0,0.0,48466.89,0
449,France,Male,52.0,6,0.0,2,0.0,1.0,123622.0,0
756,Germany,Male,36.44,2,136815.64,1,1.0,1.0,170041.95,0
850,Germany,Male,44.0,2,112755.34,2,0.0,0.0,158171.36,0
549,France,Female,34.0,4,0.0,2,0.0,0.0,139463.57,0
676,Germany,Female,34.0,4,89437.03,1,1.0,1.0,189540.95,0
727,Germany,Male,40.0,1,93051.64,2,1.0,0.0,71865.31,1
615,France,Female,23.0,4,0.0,2,1.0,0.0,196476.19,0
646,France,Female,33.0,2,0.0,2,0.0,0.0,198208.0,0
811,France,Female,45.0,5,0.0,2,1.0,1.0,146123.19,0
749,France,Male,41.0,5,57568.94,1,1.0,1.0,61128.29,0
647,Germany,Female,43.0,3,122717.53,2,1.0,1.0,87000.39,0
739,France,Female,30.0,6,0.0,1,0.0,0.0,122604.44,0
522,Germany,Male,25.0,1,111432.13,1,1.0,1.0,168683.57,0
682,France,Male,40.0,4,0.0,1,0.0,1.0,105352.55,0
560,Spain,Female,26.0,3,116576.45,1,1.0,0.0,157567.37,0
722,Spain,Female,35.0,1,120171.58,1,1.0,0.0,125240.8,0
588,Germany,Female,48.0,1,143279.58,2,1.0,0.0,31580.8,1
601,France,Male,38.0,4,60013.81,1,1.0,1.0,38020.05,0
673,Germany,Female,69.0,3,78833.15,2,1.0,1.0,37196.15,0
586,Germany,Female,36.0,5,103700.69,1,1.0,0.0,194072.56,1
661,Spain,Female,28.0,7,95357.49,1,0.0,0.0,102297.15,0
608,France,Male,50.0,6,0.0,1,1.0,0.0,93568.77,1
445,France,Male,37.0,3,0.0,2,1.0,1.0,180012.39,0
690,France,Female,36.0,6,110480.48,1,0.0,0.0,81292.33,0
665,Germany,Female,45.0,5,155447.65,2,1.0,0.0,51871.95,1
621,Germany,Female,55.0,7,131033.76,1,0.0,1.0,75685.59,1
804,France,Male,25.0,7,108396.67,1,1.0,0.0,128276.95,0
729,France,Female,38.0,7,0.0,2,0.0,0.0,45779.9,0
616,France,Male,44.0,5,102016.38,1,0.0,1.0,178235.37,1
588,Germany,Male,41.0,2,131341.46,2,0.0,1.0,7034.94,0
660,France,Female,38.0,5,110570.78,2,1.0,0.0,195906.59,0
687,Spain,Female,21.0,8,0.0,2,1.0,1.0,154767.34,0
713,France,Male,43.0,5,86394.14,1,1.0,1.0,130001.13,0
608,France,Male,33.0,9,89968.69,1,1.0,0.0,68777.26,0
605,Spain,Female,48.0,6,0.0,2,1.0,1.0,40062.99,0
684,France,Male,32.0,9,100249.41,2,0.0,1.0,67599.69,0
818,France,Female,31.0,1,186796.37,1,0.0,0.0,178252.63,0
703,Germany,Male,42.0,9,63227.0,1,0.0,1.0,137316.32,0
850,Spain,Male,38.0,1,146343.98,1,0.0,1.0,103902.11,0
729,France,Male,44.0,6,0.0,2,1.0,0.0,151733.43,0
752,France,Female,30.0,3,0.0,2,1.0,1.0,104991.28,0
540,Spain,Female,28.0,6,84121.04,1,0.0,1.0,80698.54,0
758,France,Female,33.0,7,0.0,2,0.0,0.0,82996.47,0
732,Germany,Female,48.0,4,102962.62,1,1.0,0.0,120852.85,1
708,Germany,Male,42.0,9,176702.36,2,1.0,1.0,104804.74,0
643,France,Male,33.0,4,0.0,2,1.0,1.0,152992.04,0
657,France,Male,33.0,1,84309.57,2,0.0,0.0,103914.4,0
545,Spain,Female,32.0,4,0.0,1,1.0,0.0,94739.2,0
673,France,Female,34.0,8,42157.08,1,1.0,0.0,20598.59,1
590,France,Male,24.0,7,126431.54,1,1.0,0.0,58781.11,0
619,Germany,Male,23.0,5,132725.1,1,1.0,1.0,143913.33,0
698,Germany,Male,39.0,9,133191.19,2,0.0,1.0,53289.49,0
591,France,Female,31.0,7,0.0,2,0.0,1.0,48778.46,0
637,France,Male,40.0,8,125470.81,1,1.0,1.0,174536.17,0
629,Spain,Male,36.0,1,161757.87,2,1.0,1.0,146371.72,0
642,France,Female,33.0,4,84607.34,2,0.0,1.0,60059.47,0
589,France,Female,50.0,4,0.0,2,0.0,1.0,182076.97,0
796,Germany,Male,40.0,2,113228.38,2,1.0,1.0,46415.09,0
538,France,Male,31.0,1,0.0,2,1.0,0.0,1375.46,0
422,France,Male,54.0,3,140014.42,1,0.0,1.0,86350.97,0
429,France,Female,27.0,6,117307.44,2,1.0,1.0,24020.49,0
649,Spain,Female,32.0,7,0.0,1,1.0,0.0,28797.32,0
850,France,Female,42.0,3,0.0,2,1.0,1.0,176883.42,0
655,Spain,Male,38.0,3,250898.09,3,0.0,1.0,81054.0,1
508,France,Male,31.0,8,72541.48,1,1.0,0.0,129803.08,0
632,France,Female,21.0,1,0.0,2,1.0,0.0,84008.66,0
637,Germany,Female,27.0,7,135842.89,1,1.0,1.0,101418.05,0
739,Spain,Female,27.0,8,98926.4,1,1.0,1.0,106969.98,0
782,France,Male,39.0,8,0.0,2,1.0,1.0,33949.67,0
601,France,Male,44.0,3,0.0,2,1.0,0.0,30607.11,0
749,France,Male,40.0,1,139290.41,1,1.0,0.0,182855.42,1
641,France,Female,38.0,3,0.0,2,1.0,0.0,116466.19,0
552,Germany,Female,42.0,8,103362.14,1,0.0,1.0,186869.58,1
745,Spain,Female,38.0,7,0.0,2,1.0,1.0,194230.82,0
633,Germany,Male,43.0,3,144164.29,1,1.0,1.0,158646.46,0
671,France,Male,34.0,7,106603.74,2,1.0,1.0,26387.71,0
638,Germany,Female,41.0,9,144326.09,1,1.0,0.0,73979.85,1
618,Germany,Female,40.0,0,140306.38,1,1.0,0.0,160618.61,1
683,France,Female,35.0,6,187530.66,2,1.0,1.0,37976.36,0
656,France,Male,46.0,9,143267.14,2,0.0,0.0,193099.43,0
600,France,Female,37.0,4,0.0,3,1.0,0.0,7312.25,1
511,France,Male,58.0,0,149117.31,1,1.0,1.0,162599.51,0
529,Germany,Male,72.0,5,94216.05,1,1.0,1.0,78695.68,0
752,Germany,Male,30.0,4,81523.38,1,1.0,1.0,36885.85,0
632,France,Male,32.0,6,111589.33,1,1.0,1.0,170382.99,0
635,Germany,Female,44.0,2,79064.85,2,0.0,1.0,113291.75,0
657,France,Male,32.0,3,118829.03,2,1.0,1.0,73127.61,0
695,Germany,Male,27.0,6,125552.96,1,1.0,0.0,105291.26,0
706,France,Female,29.0,5,112564.62,1,1.0,0.0,42334.38,0
615,Germany,Male,24.0,8,108528.07,2,0.0,0.0,179488.41,1
554,Spain,Male,66.0,8,0.0,2,1.0,1.0,116747.62,0
638,France,Female,42.0,7,165679.92,1,0.0,0.0,32916.29,0
606,Germany,Male,65.0,10,126306.64,3,0.0,0.0,7861.68,1
721,France,Male,42.0,4,102936.72,1,0.0,0.0,1187.88,0
778,France,Male,44.0,8,123863.64,1,1.0,0.0,144494.94,0
686,Spain,Female,35.0,4,0.0,2,1.0,1.0,159676.55,0
